event_type,log_feature,volume,resource_type,severity_type
event_type 34,feature 232,8,resource_type 2,severity_type 2
event_type 54,feature 80,2,resource_type 2,severity_type 1
event_type 20,feature 306,1,resource_type 8,severity_type 1
event_type 34,feature 235,1,resource_type 2,severity_type 2
event_type 43,feature 368,4,resource_type 2,severity_type 1
event_type 20,feature 70,1,resource_type 2,severity_type 1
event_type 11,feature 198,6,resource_type 8,severity_type 1
event_type 44,feature 283,5,resource_type 2,severity_type 1
event_type 34,feature 237,1,resource_type 8,severity_type 1
event_type 34,feature 229,96,resource_type 2,severity_type 2
event_type 11,feature 201,7,resource_type 8,severity_type 1
event_type 35,feature 233,2,resource_type 2,severity_type 2
event_type 35,feature 229,2,resource_type 2,severity_type 2
event_type 3,feature 43,3,resource_type 1,severity_type 1
event_type 34,feature 232,2,resource_type 2,severity_type 2
event_type 35,feature 94,2,resource_type 2,severity_type 1
event_type 34,feature 233,1,resource_type 2,severity_type 1
event_type 15,feature 201,4,resource_type 1,severity_type 1
event_type 15,feature 80,8,resource_type 8,severity_type 2
event_type 11,feature 135,1,resource_type 8,severity_type 1
event_type 34,feature 307,2,resource_type 2,severity_type 2
event_type 34,feature 315,2,resource_type 2,severity_type 2
event_type 35,feature 312,8,resource_type 2,severity_type 2
event_type 20,feature 171,17,resource_type 2,severity_type 1
event_type 15,feature 203,28,resource_type 8,severity_type 1
event_type 15,feature 71,7,resource_type 8,severity_type 1
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 14,feature 88,1,resource_type 8,severity_type 1
event_type 15,feature 203,33,resource_type 1,severity_type 1
event_type 34,feature 311,1,resource_type 2,severity_type 2
event_type 15,feature 82,21,resource_type 8,severity_type 2
event_type 11,feature 306,1,resource_type 4,severity_type 1
event_type 11,feature 47,2,resource_type 2,severity_type 1
event_type 11,feature 306,2,resource_type 7,severity_type 2
event_type 15,feature 71,1,resource_type 8,severity_type 1
event_type 35,feature 313,1,resource_type 2,severity_type 2
event_type 15,feature 82,14,resource_type 8,severity_type 2
event_type 42,feature 375,56,resource_type 2,severity_type 1
event_type 11,feature 219,1,resource_type 2,severity_type 1
event_type 35,feature 227,1,resource_type 2,severity_type 2
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 20,feature 301,1,resource_type 2,severity_type 1
event_type 54,feature 203,4,resource_type 8,severity_type 1
event_type 15,feature 203,6,resource_type 8,severity_type 1
event_type 34,feature 232,6,resource_type 2,severity_type 2
event_type 15,feature 203,6,resource_type 8,severity_type 1
event_type 35,feature 307,2,resource_type 2,severity_type 2
event_type 34,feature 232,37,resource_type 2,severity_type 2
event_type 15,feature 76,5,resource_type 8,severity_type 1
event_type 34,feature 232,14,resource_type 2,severity_type 2
event_type 11,feature 44,1,resource_type 2,severity_type 1
event_type 35,feature 232,2,resource_type 2,severity_type 2
event_type 34,feature 307,3,resource_type 2,severity_type 1
event_type 35,feature 313,9,resource_type 2,severity_type 2
event_type 34,feature 232,6,resource_type 2,severity_type 2
event_type 34,feature 232,7,resource_type 2,severity_type 2
event_type 42,feature 368,3,resource_type 2,severity_type 1
event_type 11,feature 179,1,resource_type 8,severity_type 1
event_type 11,feature 82,16,resource_type 1,severity_type 1
event_type 11,feature 71,6,resource_type 8,severity_type 1
event_type 35,feature 313,16,resource_type 2,severity_type 2
event_type 15,feature 203,4,resource_type 8,severity_type 2
event_type 44,feature 291,2,resource_type 2,severity_type 1
event_type 15,feature 82,14,resource_type 2,severity_type 1
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 22,feature 75,10,resource_type 7,severity_type 2
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 23,feature 306,1,resource_type 8,severity_type 1
event_type 15,feature 71,1,resource_type 8,severity_type 2
event_type 54,feature 193,2,resource_type 2,severity_type 1
event_type 54,feature 193,2,resource_type 8,severity_type 1
event_type 11,feature 307,3,resource_type 8,severity_type 2
event_type 35,feature 314,41,resource_type 2,severity_type 2
event_type 35,feature 181,1,resource_type 8,severity_type 2
event_type 13,feature 179,1,resource_type 6,severity_type 1
event_type 11,feature 171,1,resource_type 8,severity_type 1
event_type 35,feature 221,1,resource_type 2,severity_type 2
event_type 34,feature 235,1,resource_type 2,severity_type 2
event_type 44,feature 290,1,resource_type 2,severity_type 1
event_type 23,feature 134,2,resource_type 4,severity_type 1
event_type 35,feature 313,6,resource_type 2,severity_type 2
event_type 13,feature 338,2,resource_type 10,severity_type 1
event_type 11,feature 203,10,resource_type 8,severity_type 1
event_type 15,feature 193,3,resource_type 8,severity_type 1
event_type 13,feature 273,2,resource_type 7,severity_type 1
event_type 35,feature 313,9,resource_type 2,severity_type 2
event_type 35,feature 315,4,resource_type 2,severity_type 2
event_type 34,feature 232,5,resource_type 2,severity_type 2
event_type 42,feature 291,1,resource_type 2,severity_type 1
event_type 34,feature 308,9,resource_type 2,severity_type 2
event_type 11,feature 71,10,resource_type 8,severity_type 1
event_type 34,feature 44,2,resource_type 8,severity_type 1
event_type 11,feature 193,3,resource_type 2,severity_type 1
event_type 11,feature 137,2,resource_type 1,severity_type 1
event_type 34,feature 160,7,resource_type 2,severity_type 1
event_type 11,feature 170,14,resource_type 2,severity_type 1
event_type 15,feature 193,1,resource_type 2,severity_type 1
event_type 34,feature 234,10,resource_type 2,severity_type 2
event_type 11,feature 315,1,resource_type 8,severity_type 2
event_type 10,feature 55,3,resource_type 8,severity_type 1
event_type 11,feature 139,2,resource_type 1,severity_type 1
event_type 20,feature 219,1,resource_type 2,severity_type 1
event_type 14,feature 222,1,resource_type 7,severity_type 1
event_type 14,feature 306,2,resource_type 6,severity_type 1
event_type 11,feature 211,2,resource_type 2,severity_type 1
event_type 14,feature 345,3,resource_type 8,severity_type 1
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 22,feature 305,1,resource_type 7,severity_type 2
event_type 35,feature 312,10,resource_type 2,severity_type 2
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 34,feature 313,2,resource_type 2,severity_type 2
event_type 35,feature 314,52,resource_type 2,severity_type 2
event_type 11,feature 54,8,resource_type 8,severity_type 1
event_type 11,feature 80,5,resource_type 8,severity_type 1
event_type 23,feature 75,1,resource_type 8,severity_type 4
event_type 35,feature 232,38,resource_type 2,severity_type 2
event_type 35,feature 312,25,resource_type 2,severity_type 2
event_type 11,feature 47,2,resource_type 8,severity_type 1
event_type 20,feature 232,1,resource_type 2,severity_type 1
event_type 14,feature 47,1,resource_type 7,severity_type 1
event_type 18,feature 322,1,resource_type 10,severity_type 1
event_type 39,feature 150,2,resource_type 3,severity_type 1
event_type 11,feature 203,18,resource_type 8,severity_type 1
event_type 42,feature 291,1,resource_type 2,severity_type 1
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 54,feature 196,2,resource_type 8,severity_type 1
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 34,feature 313,1,resource_type 2,severity_type 2
event_type 20,feature 219,1,resource_type 2,severity_type 1
event_type 11,feature 312,2,resource_type 2,severity_type 1
event_type 15,feature 203,9,resource_type 8,severity_type 1
event_type 11,feature 230,27,resource_type 2,severity_type 1
event_type 11,feature 73,1,resource_type 8,severity_type 2
event_type 35,feature 315,2,resource_type 2,severity_type 2
event_type 35,feature 229,12,resource_type 2,severity_type 2
event_type 13,feature 273,2,resource_type 4,severity_type 1
event_type 43,feature 368,5,resource_type 2,severity_type 1
event_type 34,feature 309,68,resource_type 2,severity_type 1
event_type 34,feature 313,6,resource_type 2,severity_type 2
event_type 34,feature 232,6,resource_type 2,severity_type 2
event_type 11,feature 191,1,resource_type 8,severity_type 1
event_type 13,feature 273,1,resource_type 6,severity_type 1
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 15,feature 82,11,resource_type 8,severity_type 1
event_type 35,feature 301,1,resource_type 2,severity_type 1
event_type 43,feature 367,1,resource_type 2,severity_type 1
event_type 35,feature 219,1,resource_type 2,severity_type 1
event_type 34,feature 233,3,resource_type 2,severity_type 2
event_type 35,feature 134,1,resource_type 2,severity_type 1
event_type 34,feature 219,2,resource_type 2,severity_type 1
event_type 6,feature 171,1,resource_type 8,severity_type 1
event_type 11,feature 191,4,resource_type 8,severity_type 1
event_type 35,feature 307,1,resource_type 2,severity_type 1
event_type 20,feature 304,1,resource_type 7,severity_type 1
event_type 11,feature 70,8,resource_type 8,severity_type 1
event_type 11,feature 54,2,resource_type 8,severity_type 1
event_type 34,feature 233,1,resource_type 2,severity_type 1
event_type 11,feature 54,4,resource_type 8,severity_type 1
event_type 34,feature 234,1,resource_type 2,severity_type 2
event_type 34,feature 312,7,resource_type 2,severity_type 2
event_type 54,feature 170,1,resource_type 2,severity_type 1
event_type 21,feature 369,4,resource_type 2,severity_type 1
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 13,feature 273,1,resource_type 6,severity_type 1
event_type 15,feature 80,4,resource_type 8,severity_type 2
event_type 34,feature 301,3,resource_type 2,severity_type 1
event_type 21,feature 135,1,resource_type 7,severity_type 1
event_type 35,feature 233,3,resource_type 2,severity_type 1
event_type 35,feature 312,7,resource_type 2,severity_type 2
event_type 34,feature 301,1,resource_type 2,severity_type 1
event_type 11,feature 181,1,resource_type 2,severity_type 1
event_type 11,feature 73,5,resource_type 8,severity_type 1
event_type 35,feature 134,1,resource_type 2,severity_type 1
event_type 34,feature 44,1,resource_type 8,severity_type 1
event_type 10,feature 219,1,resource_type 3,severity_type 1
event_type 35,feature 233,83,resource_type 2,severity_type 2
event_type 23,feature 47,3,resource_type 7,severity_type 1
event_type 6,feature 39,1,resource_type 3,severity_type 1
event_type 11,feature 65,3,resource_type 8,severity_type 1
event_type 43,feature 375,3,resource_type 2,severity_type 1
event_type 34,feature 315,2,resource_type 2,severity_type 2
event_type 15,feature 201,2,resource_type 8,severity_type 1
event_type 35,feature 313,2,resource_type 2,severity_type 2
event_type 23,feature 223,1,resource_type 8,severity_type 1
event_type 35,feature 232,23,resource_type 2,severity_type 2
event_type 35,feature 232,16,resource_type 2,severity_type 2
event_type 34,feature 313,1,resource_type 8,severity_type 2
event_type 35,feature 311,10,resource_type 2,severity_type 2
event_type 15,feature 82,28,resource_type 8,severity_type 2
event_type 11,feature 197,1,resource_type 7,severity_type 2
event_type 34,feature 314,31,resource_type 2,severity_type 2
event_type 11,feature 68,1,resource_type 8,severity_type 2
event_type 23,feature 222,1,resource_type 2,severity_type 1
event_type 15,feature 201,1,resource_type 8,severity_type 2
event_type 15,feature 201,4,resource_type 8,severity_type 1
event_type 35,feature 235,1,resource_type 2,severity_type 2
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 35,feature 312,5,resource_type 2,severity_type 2
event_type 11,feature 68,2,resource_type 8,severity_type 1
event_type 34,feature 312,2,resource_type 2,severity_type 2
event_type 23,feature 273,3,resource_type 7,severity_type 1
event_type 13,feature 273,1,resource_type 8,severity_type 1
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 35,feature 232,2,resource_type 8,severity_type 1
event_type 13,feature 256,1,resource_type 6,severity_type 1
event_type 20,feature 219,2,resource_type 2,severity_type 1
event_type 13,feature 68,2,resource_type 6,severity_type 1
event_type 11,feature 8,1,resource_type 1,severity_type 1
event_type 34,feature 312,63,resource_type 2,severity_type 2
event_type 11,feature 280,1,resource_type 8,severity_type 2
event_type 11,feature 134,1,resource_type 7,severity_type 1
event_type 35,feature 307,1,resource_type 2,severity_type 1
event_type 35,feature 232,2,resource_type 2,severity_type 2
event_type 20,feature 273,2,resource_type 4,severity_type 1
event_type 35,feature 232,91,resource_type 2,severity_type 2
event_type 35,feature 236,3,resource_type 2,severity_type 2
event_type 35,feature 160,1,resource_type 8,severity_type 1
event_type 54,feature 55,1,resource_type 8,severity_type 2
event_type 21,feature 135,1,resource_type 8,severity_type 1
event_type 11,feature 73,2,resource_type 8,severity_type 1
event_type 34,feature 312,14,resource_type 2,severity_type 2
event_type 35,feature 232,19,resource_type 2,severity_type 2
event_type 13,feature 54,2,resource_type 8,severity_type 1
event_type 54,feature 170,1,resource_type 2,severity_type 1
event_type 15,feature 82,14,resource_type 8,severity_type 1
event_type 35,feature 234,52,resource_type 2,severity_type 2
event_type 34,feature 312,9,resource_type 2,severity_type 2
event_type 15,feature 71,14,resource_type 8,severity_type 1
event_type 34,feature 181,1,resource_type 8,severity_type 2
event_type 27,feature 154,3,resource_type 3,severity_type 1
event_type 42,feature 283,1,resource_type 2,severity_type 1
event_type 35,feature 312,2,resource_type 2,severity_type 2
event_type 18,feature 118,1,resource_type 6,severity_type 1
event_type 11,feature 71,3,resource_type 8,severity_type 1
event_type 34,feature 232,2,resource_type 2,severity_type 2
event_type 35,feature 233,1,resource_type 2,severity_type 2
event_type 34,feature 232,36,resource_type 2,severity_type 2
event_type 34,feature 312,10,resource_type 2,severity_type 2
event_type 35,feature 307,9,resource_type 2,severity_type 2
event_type 34,feature 233,4,resource_type 2,severity_type 2
event_type 11,feature 134,1,resource_type 7,severity_type 1
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 36,feature 232,4,resource_type 8,severity_type 1
event_type 42,feature 291,16,resource_type 2,severity_type 1
event_type 11,feature 68,4,resource_type 6,severity_type 1
event_type 11,feature 202,8,resource_type 8,severity_type 2
event_type 20,feature 68,2,resource_type 8,severity_type 1
event_type 11,feature 73,13,resource_type 8,severity_type 1
event_type 27,feature 154,2,resource_type 9,severity_type 1
event_type 11,feature 71,11,resource_type 8,severity_type 1
event_type 20,feature 219,1,resource_type 8,severity_type 1
event_type 15,feature 76,1,resource_type 8,severity_type 2
event_type 14,feature 135,1,resource_type 2,severity_type 1
event_type 23,feature 306,1,resource_type 7,severity_type 1
event_type 11,feature 81,12,resource_type 8,severity_type 1
event_type 34,feature 227,2,resource_type 2,severity_type 2
event_type 43,feature 375,29,resource_type 2,severity_type 1
event_type 15,feature 203,5,resource_type 8,severity_type 2
event_type 18,feature 345,2,resource_type 6,severity_type 1
event_type 44,feature 376,6,resource_type 2,severity_type 1
event_type 35,feature 233,3,resource_type 2,severity_type 1
event_type 11,feature 248,1,resource_type 8,severity_type 1
event_type 11,feature 73,17,resource_type 8,severity_type 2
event_type 11,feature 211,1,resource_type 2,severity_type 1
event_type 34,feature 232,2,resource_type 2,severity_type 2
event_type 15,feature 203,6,resource_type 8,severity_type 1
event_type 34,feature 230,1,resource_type 2,severity_type 2
event_type 13,feature 273,2,resource_type 6,severity_type 1
event_type 11,feature 219,1,resource_type 8,severity_type 1
event_type 35,feature 316,6,resource_type 2,severity_type 1
event_type 34,feature 312,1,resource_type 8,severity_type 1
event_type 15,feature 71,22,resource_type 8,severity_type 1
event_type 11,feature 68,1,resource_type 8,severity_type 1
event_type 35,feature 312,23,resource_type 2,severity_type 2
event_type 11,feature 273,1,resource_type 6,severity_type 1
event_type 14,feature 134,1,resource_type 7,severity_type 1
event_type 22,feature 170,27,resource_type 2,severity_type 1
event_type 34,feature 307,3,resource_type 8,severity_type 2
event_type 35,feature 135,1,resource_type 8,severity_type 1
event_type 11,feature 82,44,resource_type 8,severity_type 1
event_type 35,feature 315,3,resource_type 2,severity_type 2
event_type 14,feature 259,1,resource_type 4,severity_type 1
event_type 14,feature 273,4,resource_type 4,severity_type 1
event_type 20,feature 202,2,resource_type 8,severity_type 1
event_type 11,feature 71,5,resource_type 2,severity_type 1
event_type 34,feature 312,2,resource_type 2,severity_type 2
event_type 34,feature 307,2,resource_type 8,severity_type 1
event_type 11,feature 56,2,resource_type 2,severity_type 1
event_type 54,feature 201,2,resource_type 8,severity_type 1
event_type 14,feature 350,1,resource_type 2,severity_type 1
event_type 14,feature 306,1,resource_type 8,severity_type 1
event_type 20,feature 222,2,resource_type 2,severity_type 1
event_type 15,feature 203,6,resource_type 8,severity_type 2
event_type 15,feature 82,56,resource_type 8,severity_type 1
event_type 14,feature 209,5,resource_type 6,severity_type 1
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 30,feature 219,1,resource_type 9,severity_type 1
event_type 15,feature 82,6,resource_type 8,severity_type 1
event_type 35,feature 315,21,resource_type 2,severity_type 2
event_type 11,feature 82,19,resource_type 2,severity_type 1
event_type 15,feature 82,6,resource_type 8,severity_type 2
event_type 14,feature 47,3,resource_type 7,severity_type 1
event_type 11,feature 68,12,resource_type 8,severity_type 1
event_type 11,feature 56,205,resource_type 8,severity_type 1
event_type 35,feature 235,14,resource_type 2,severity_type 2
event_type 34,feature 233,43,resource_type 2,severity_type 2
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 11,feature 193,3,resource_type 8,severity_type 1
event_type 35,feature 316,5,resource_type 2,severity_type 2
event_type 18,feature 68,1,resource_type 6,severity_type 1
event_type 35,feature 312,3,resource_type 2,severity_type 1
event_type 11,feature 55,3,resource_type 3,severity_type 1
event_type 35,feature 232,13,resource_type 2,severity_type 2
event_type 14,feature 219,1,resource_type 7,severity_type 1
event_type 23,feature 170,14,resource_type 6,severity_type 1
event_type 35,feature 307,1,resource_type 2,severity_type 2
event_type 34,feature 94,15,resource_type 8,severity_type 1
event_type 11,feature 193,7,resource_type 8,severity_type 1
event_type 5,feature 68,80,resource_type 2,severity_type 1
event_type 35,feature 312,71,resource_type 2,severity_type 2
event_type 34,feature 312,38,resource_type 2,severity_type 2
event_type 15,feature 80,7,resource_type 8,severity_type 1
event_type 47,feature 369,4,resource_type 2,severity_type 1
event_type 35,feature 313,2,resource_type 2,severity_type 2
event_type 35,feature 301,1,resource_type 2,severity_type 1
event_type 35,feature 160,1,resource_type 8,severity_type 1
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 34,feature 232,19,resource_type 2,severity_type 2
event_type 35,feature 312,52,resource_type 2,severity_type 2
event_type 35,feature 313,9,resource_type 2,severity_type 2
event_type 20,feature 310,1,resource_type 2,severity_type 1
event_type 11,feature 68,2,resource_type 6,severity_type 1
event_type 13,feature 337,1,resource_type 7,severity_type 1
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 34,feature 234,63,resource_type 2,severity_type 2
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 35,feature 314,1,resource_type 2,severity_type 2
event_type 35,feature 314,3,resource_type 2,severity_type 1
event_type 11,feature 172,9,resource_type 8,severity_type 1
event_type 35,feature 307,1,resource_type 2,severity_type 2
event_type 26,feature 71,6,resource_type 8,severity_type 2
event_type 11,feature 202,4,resource_type 8,severity_type 2
event_type 35,feature 230,2,resource_type 2,severity_type 2
event_type 11,feature 87,2,resource_type 8,severity_type 1
event_type 35,feature 314,61,resource_type 2,severity_type 2
event_type 15,feature 80,8,resource_type 8,severity_type 1
event_type 11,feature 54,1,resource_type 8,severity_type 1
event_type 23,feature 337,1,resource_type 4,severity_type 1
event_type 11,feature 273,2,resource_type 6,severity_type 1
event_type 34,feature 229,18,resource_type 2,severity_type 2
event_type 23,feature 75,2,resource_type 8,severity_type 2
event_type 35,feature 313,1,resource_type 2,severity_type 2
event_type 11,feature 207,1,resource_type 8,severity_type 1
event_type 35,feature 232,7,resource_type 2,severity_type 2
event_type 44,feature 376,6,resource_type 2,severity_type 1
event_type 15,feature 203,16,resource_type 8,severity_type 1
event_type 11,feature 73,69,resource_type 8,severity_type 1
event_type 11,feature 54,2,resource_type 2,severity_type 1
event_type 15,feature 203,2,resource_type 2,severity_type 1
event_type 34,feature 312,2,resource_type 2,severity_type 2
event_type 35,feature 315,4,resource_type 2,severity_type 2
event_type 11,feature 171,7,resource_type 8,severity_type 1
event_type 15,feature 80,8,resource_type 8,severity_type 1
event_type 14,feature 305,2,resource_type 8,severity_type 1
event_type 35,feature 313,24,resource_type 2,severity_type 2
event_type 7,feature 73,1,resource_type 1,severity_type 1
event_type 11,feature 318,2,resource_type 2,severity_type 1
event_type 11,feature 134,1,resource_type 2,severity_type 1
event_type 35,feature 312,4,resource_type 2,severity_type 2
event_type 35,feature 232,1,resource_type 2,severity_type 1
event_type 23,feature 47,2,resource_type 7,severity_type 1
event_type 35,feature 301,1,resource_type 2,severity_type 1
event_type 44,feature 376,4,resource_type 2,severity_type 1
event_type 35,feature 307,1,resource_type 2,severity_type 2
event_type 34,feature 301,1,resource_type 2,severity_type 2
event_type 11,feature 182,1,resource_type 8,severity_type 1
event_type 14,feature 306,1,resource_type 2,severity_type 1
event_type 15,feature 203,3,resource_type 8,severity_type 1
event_type 35,feature 232,2,resource_type 2,severity_type 2
event_type 34,feature 307,2,resource_type 2,severity_type 2
event_type 20,feature 223,1,resource_type 6,severity_type 1
event_type 35,feature 312,5,resource_type 2,severity_type 2
event_type 34,feature 312,1,resource_type 2,severity_type 2
event_type 11,feature 195,1,resource_type 8,severity_type 1
event_type 22,feature 170,1,resource_type 7,severity_type 2
event_type 11,feature 203,7,resource_type 8,severity_type 1
event_type 15,feature 203,6,resource_type 8,severity_type 1
event_type 11,feature 273,2,resource_type 6,severity_type 1
event_type 35,feature 228,1,resource_type 2,severity_type 2
event_type 23,feature 222,1,resource_type 7,severity_type 4
event_type 11,feature 170,1,resource_type 4,severity_type 2
event_type 34,feature 160,1,resource_type 8,severity_type 1
event_type 39,feature 171,15,resource_type 8,severity_type 1
event_type 34,feature 307,2,resource_type 8,severity_type 1
event_type 14,feature 68,1,resource_type 4,severity_type 2
event_type 11,feature 134,1,resource_type 8,severity_type 1
event_type 35,feature 315,234,resource_type 2,severity_type 2
event_type 11,feature 73,35,resource_type 8,severity_type 1
event_type 34,feature 313,1,resource_type 2,severity_type 2
event_type 23,feature 306,10,resource_type 8,severity_type 2
event_type 35,feature 312,1,resource_type 2,severity_type 2
event_type 11,feature 201,2,resource_type 8,severity_type 1
event_type 35,feature 227,2,resource_type 2,severity_type 2
event_type 34,feature 313,6,resource_type 2,severity_type 2
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 34,feature 312,4,resource_type 2,severity_type 1
event_type 20,feature 346,1,resource_type 4,severity_type 1
event_type 35,feature 232,171,resource_type 2,severity_type 2
event_type 11,feature 327,2,resource_type 10,severity_type 1
event_type 34,feature 232,41,resource_type 2,severity_type 2
event_type 22,feature 305,2,resource_type 7,severity_type 2
event_type 35,feature 307,1,resource_type 2,severity_type 4
event_type 35,feature 313,3,resource_type 2,severity_type 2
event_type 34,feature 94,1,resource_type 8,severity_type 1
event_type 11,feature 82,4,resource_type 8,severity_type 1
event_type 23,feature 306,1,resource_type 7,severity_type 1
event_type 34,feature 315,4,resource_type 2,severity_type 2
event_type 20,feature 134,2,resource_type 2,severity_type 1
event_type 20,feature 170,6,resource_type 2,severity_type 1
event_type 35,feature 232,1,resource_type 8,severity_type 1
event_type 11,feature 171,2,resource_type 8,severity_type 2
event_type 20,feature 209,1,resource_type 2,severity_type 1
event_type 54,feature 82,14,resource_type 8,severity_type 1
event_type 35,feature 312,4,resource_type 2,severity_type 1
event_type 34,feature 312,103,resource_type 2,severity_type 2
event_type 34,feature 307,1,resource_type 2,severity_type 2
event_type 11,feature 170,4,resource_type 7,severity_type 1
event_type 11,feature 54,7,resource_type 4,severity_type 1
event_type 15,feature 201,3,resource_type 8,severity_type 1
event_type 11,feature 204,2,resource_type 8,severity_type 1
event_type 34,feature 312,32,resource_type 2,severity_type 2
event_type 34,feature 313,2,resource_type 2,severity_type 2
event_type 35,feature 312,3,resource_type 2,severity_type 2
event_type 34,feature 227,2,resource_type 2,severity_type 2
event_type 14,feature 134,1,resource_type 4,severity_type 1
event_type 35,feature 233,51,resource_type 2,severity_type 2
event_type 15,feature 68,1,resource_type 8,severity_type 2
event_type 11,feature 82,20,resource_type 8,severity_type 1
event_type 22,feature 273,2,resource_type 6,severity_type 1
event_type 13,feature 273,3,resource_type 6,severity_type 1
event_type 35,feature 232,1,resource_type 2,severity_type 2
event_type 42,feature 375,49,resource_type 2,severity_type 1
event_type 10,feature 171,1,resource_type 5,severity_type 1
event_type 34,feature 228,5,resource_type 2,severity_type 2
event_type 22,feature 304,2,resource_type 7,severity_type 1
event_type 30,feature 98,5,resource_type 9,severity_type 1
event_type 13,feature 255,1,resource_type 8,severity_type 1
event_type 11,feature 74,5,resource_type 8,severity_type 1
event_type 15,feature 82,8,resource_type 8,severity_type 2
event_type 35,feature 232,2,resource_type 2,severity_type 2
event_type 34,feature 312,2,resource_type 2,severity_type 2
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 23,feature 48,1,resource_type 8,severity_type 1
event_type 11,feature 47,1,resource_type 4,severity_type 1
event_type 15,feature 193,9,resource_type 8,severity_type 1
event_type 20,feature 134,1,resource_type 2,severity_type 1
event_type 11,feature 193,2,resource_type 8,severity_type 1
event_type 15,feature 71,3,resource_type 8,severity_type 2
event_type 13,feature 333,1,resource_type 8,severity_type 1
event_type 20,feature 170,1,resource_type 8,severity_type 1
event_type 30,feature 38,3,resource_type 3,severity_type 1
event_type 13,feature 68,14,resource_type 8,severity_type 1
event_type 34,feature 313,1,resource_type 2,severity_type 2
event_type 15,feature 80,6,resource_type 8,severity_type 1
event_type 54,feature 198,5,resource_type 8,severity_type 1
event_type 35,feature 315,5,resource_type 2,severity_type 2
event_type 20,feature 219,1,resource_type 7,severity_type 1
event_type 15,feature 52,1,resource_type 8,severity_type 1
event_type 26,feature 71,13,resource_type 8,severity_type 1
event_type 35,feature 232,40,resource_type 2,severity_type 2
event_type 14,feature 54,1,resource_type 8,severity_type 2
event_type 43,feature 290,11,resource_type 2,severity_type 1
event_type 11,feature 182,1,resource_type 1,severity_type 1
event_type 15,feature 193,2,resource_type 8,severity_type 1
event_type 35,feature 313,28,resource_type 2,severity_type 2
event_type 15,feature 193,2,resource_type 8,severity_type 2
event_type 42,feature 375,6,resource_type 2,severity_type 1
event_type 34,feature 232,1,resource_type 2,severity_type 2
event_type 35,feature 233,1,resource_type 2,severity_type 2
event_type 15,feature 203,14,resource_type 8,severity_type 1
event_type 43,feature 291,1,resource_type 2,severity_type 1
event_type 23,feature 54,4,resource_type 8,severity_type 1
event_type 14,feature 170,13,resource_type 8,severity_type 1
event_type 11,feature 55,10,resource_type 8,severity_type 1
event_type 34,feature 232,6,resource_type 2,severity_type 2
event_type 34,feature 227,1,resource_type 2,severity_type 2
event_type 11,feature 54,1,resource_type 8,severity_type 1
event_type 27,feature 127,9,resource_type 9,severity_type 1
event_type 34,feature 235,1,resource_type 2,severity_type 2
event_type 35,feature 312,15,resource_type 2,severity_type 2
event_type 11,feature 70,1,resource_type 8,severity_type 1
event_type 34,feature 301,1,resource_type 2,severity_type 1
event_type 34,feature 229,16,resource_type 2,severity_type 2
event_type 34,feature 94,4,resource_type 8,severity_type 1
event_type 11,feature 150,1,resource_type 8,severity_type 1
event_type 54,feature 362,2,resource_type 2,severity_type 4
event_type 15,feature 193,1,resource_type 2,severity_type 1
event_type 15,feature 203,1,resource_type 8,severity_type 2
event_type 34,feature 233,2,resource_type 2,severity_type 2
event_type 13,feature 170,27,resource_type 4,severity_type 1
event_type 34,feature 234,49,resource_type 2,severity_type 2
event_type 11,feature 73,1,resource_type 8,severity_type 2
event_type 34,feature 312,3,resource_type 2,severity_type 2
event_type 29,feature 153,3,resource_type 3,severity_type 1
event_type 20,feature 219,1,resource_type 2,severity_type 1
event_type 35,feature 227,1,resource_type 2,severity_type 2
event_type 34,feature 313,1,resource_type 2,severity_type 2
event_type 11,feature 201,2,resource_type 8,severity_type 1
event_type 10,feature 35,2,resource_type 3,severity_type 2
event_type 15,feature 219,1,resource_type 8,severity_type 1
event_type 35,feature 312,32,resource_type 2,severity_type 2
event_type 13,feature 68,2,resource_type 8,severity_type 1
event_type 11,feature 193,1,resource_type 8,severity_type 1
event_type 11,feature 191,1,resource_type 8,severity_type 2
event_type 18,feature 54,5,resource_type 8,severity_type 1
event_type 34,feature 232,4,resource_type 2,severity_type 2
